id,date,post_url,type,title,body,caption,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,@photo0,@photo1,@photo2,@inlinePhoto0,@inlinePhoto1,@inlinePhoto2,@inlinePhoto3,@inlinePhoto4,@inlinePhoto5,@inlinePhoto6,@inlinePhoto7,@inlinePhoto8,@inlinePhoto9,@inlinePhoto10,@inlinePhoto11,@inlinePhoto12,@inlinePhoto13,@inlinePhoto14,@inlinePhoto15,@inlinePhoto16,@inlinePhoto17,@inlinePhoto18,@inlinePhoto19
45588675387,2013-03-17 15:24:34 GMT,http://ifthisthenth-ey.tumblr.com/post/45588675387/feature-matters-of-substance-bill-millard-plumbs,photo, , ,Feature> Matters of Substance Bill Millard plumbs the field of materials science in search of the next transformative technology.:If as Louis Kahn said a brick wants to be part of an arch what does a biopolymer molecule a block of aerogel or a slab of metallic foam want to be? The empirical basis for inferring bricks’ intentions is well established comprising building traditions that have evolved over millennia. For newer materials the chance of moving from laboratories to construction sites can be a crapshoot. The successful ones not only capture markets but transform behavior. The most promising approaches materials specialists agree emphasize integration rather than isolation. “We don (a href=”http://bit.ly/115up31”Continue reading./a) http://bit.ly/110bKSg,The Architect&39;s Newspaper - News Channel,architecture,material,t,(author unknown), , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjt85qKAS71s75lgto1_1280.jpg, , , , , , , , , , , , , , , , , , , , , , 
45537090992,2013-03-16 23:28:00 GMT,http://ifthisthenth-ey.tumblr.com/post/45537090992/young-artists-dominate-armory-show-opening-sales,photo, , ,Young Artists Dominate Armory Show Opening Sales as Focus Section Draws Crowds Young Artists Dominate Armory Show Opening Sales as Focus Section Draws Crowds  Photo Gallery:   Slideshow: Young Artists Dominate Opening Armory Sales    Published: March 6 2013    The Armory Show may be celebrating its centennial but young artists — and the collectors who support them — dominated the VIP opening. For one thing the Armory Show’s Focus section with energetic crowds and sales wasn’t this year’s sideshow. “People seem to be buying a lot in the young section” said art advisor Wendy Cromwell. Twenty minutes into the fair’s preview Focus galleries were already reporting strong sales. “The first thing we sold was this Paul Gabrielli box to John Waters” said Invisible-Exports co-owner Benjamin Tischer pointing to a chained-up cardboard box that went for $6500. The gallery also sold two of the artist’s wooden soap-dish sculptures. Next door meanwhile Monique Meloche had already sold Joel Ross and Jason Kreps’s photograph of a desolate Illinois landscape for $7500 plus a neon work by collective Type A and an installation of bronze-plated shoes by Kendell Carter. Connersmith gallery was offering Lincoln Schatz’s photographs of American innovators for $5000 each but a collector had placed the entire set of 89 on hold. Across the way Gagosian’s booth of Warhol paintings brought star power to this subsection of the fair. Despite the buzz at Focus big-ticket sales were few and far between. Modestly priced works however like 32-year-old TM Davy’s lush paintings of candles at Eleven Rivington were selling fast. The gallery sold all 20 paintings in three hours the works priced between $2500 and $3500. Kavi Gupta Gallery sold two ink-stained canvases by James Krone for $6000 each as well as a paint-splattered fabric work by Angel Otero for $35000. The lower price points suggest a shift in the Armory Show’s collector base according to art advisors. With the arrival of Frieze New York which returns to Randall’s Island for its sophomore edition in May blue-chip buyers may not feel the need to shop at the piers. Still said Cromwell “collectors who are buying new artists are all here.” Major international dealers most of which are also participating in Frieze New York this spring did manage to secure a handful of marquee sales. “Let’s just say we’ll be rehanging tomorrow” dealer Sean Kelly said. Lisson sold a maroon fiberglass disk by Anish Kapoor for $455350 and a grisaille canvas covered with sandpaper by Allora & Calzadilla for $125000. Victoria Miro sold a glistening blue and black web painting by Yayoi Kusama for $400000. Sprüth Magers sold three works by George Condo — two works on paper for $45000 and one painting for $250000 — as well as a shaggy yarn sculpture by Rosemarie Trockel for $228000. Two of three grainy soft-focused video installations of flower bouquets by Diana Thater also sold at David Zwirner. Priced at $150000 both went to private collectors. That one of them has an art foundation pleased Thater who was at the booth. “I don’t like my work disappearing” she said. “I like it to go to institutions and museums so it can be seen.” Smaller New York galleries noted the fair marked a welcome return to business as usual. “We’re back to being dealers as opposed to hurricane victims” said Ed Winkleman. To see photos click on the slideshow.    http://bit.ly/WvDm1C,Artinfo,art,Julia Halperin,youth, , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjryc4x7jP1s75lgto1_1280.jpg, , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:ZQJSik, , , , , , , , , , , , , , , , , , , 
45533265401,2013-03-16 22:36:00 GMT,http://ifthisthenth-ey.tumblr.com/post/45533265401/with-3-d-printing-new-balance-running,photo, , ,With 3-D Printing New Balance Running Customisation in New Direction NEW YORK United States — New Balance is taking customisation much further than choosing colours or other aesthetic details: The athletic brand is introducing a track-specific running shoe that uses 3-D printing to create a plate on the sole of the shoe that is supposed to enhance performance with every step. Athletes are measured on a sensitive track to gauge the direction their foot travels whether its forward or back left or right and how it moves; 100 sensors are placed on an insert inside the shoe to measure pressure at different points; and a motion capture system — like the ones used for video games and movies — adds stride and broader movement into the equation. Based on the biomechanical data custom spike plates the part of the shoe that actually connects with the ground are created. The new process was first reported by Wired magazine on Wednesday. Right now this process is only for New Balance elite sponsored athletes but said Katherine Petrecca the company’s business manager of studio innovation that will change with time. “The technology is early and our implementation is still really in a very early phase but you can envision as the technology improves and capacity increases — and cost comes down — the audience who will benefit from customisation will just grow and grow and grow. This will get down eventually to the casual athlete.” Some top runners helped in the development: 1500-meter World Champion gold medalist Jenny Barringer Simpson 2012 US Olympian Kim Conley 2012 British Olympian Barbara Parker and All-American runner Jack Bolas. A bonus? The addition of the athlete’s signature to the plate as if they were signing an autograph noted Chris Wawrousek studio innovation lead designer. It wasn’t singularly demand or technology that drove the development of the technique said Wawrousek studio innovation lead designer it was the idea that the industry is at a watershed moment thanks to both demand and technology. “It feels like a new industrial revolution in some ways. We’re no longer limited by scale to produce a product and customization can be totally practical” he said. The athletes themselves were another factor. “It almost never happens that you put an athlete in a shoe and they don’t have some comment about it” Wawrousek added. “In this case we can have an athlete say ‘This one particular spike is in the wrong place. Can you move it?’ In this case we can say ‘Yes!”  Copyright (2013) Associated Press. All rights reserved. http://bit.ly/140dJu7 ,fashion,shoes,tech, , , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjrxngUlyO1s75lgto1_r1_1280.jpg, , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:10XfqEi, , , , , , , , , , , , , , , , , , , 
45532770276,2013-03-16 22:29:00 GMT,http://ifthisthenth-ey.tumblr.com/post/45532770276/road-ready-3d-printed-car-on-the-way-news-a,photo, , ,Road-ready 3D-printed car on the way News: a fuel-efficient 3D-printed car is set to hit the road in two years according to its US-based manufacturer RedEye On Demand. The three-wheeled two-passenger vehicle comprises 40 large 3D-printed thermoplastic parts compared to the hundreds of parts found in a normal car. The URBEE 2 is being developed by RedEye On Demand and its parent company 3D printer maker Stratasys in collaboration with KOR EcoLogic. So far in its development 3D printing has largely been used to produce unique or customisable items in single editions or small runs but the arrival of the URBEE 2 suggests it could also be applied to mass production on a huge scale. “A future where 3D printers build cars may not be far off after all” said Jim Bartel vice president of RedEye On Demand. “URBEE 2 shows the manufacturing world that anything really is possible. There are few design challenges additive manufacturing capabilities can’t solve.” Once it’s road-ready the designers plan to drive URBEE 2 from San Francisco to New York on just 45 litres (10 gallons) of biofuel such as ethanol. The car is a follow-up to KOR EcoLogic’s 3D-printed URBEE prototype which was launched in 2010.  We’ve been closely following the rise of 3D printing reporting on plans to 3D-print a plastic house and a pen that sketches out 3D shapes in mid-air – see all 3D printing news. Other cars we’ve published lately include a car with light-up wings by fashion designer Jeremy Scott and Audi’s shape-shifting OLED headlights – see all car design. Here’s the press releases from RedEye On Demand: At RedEye On Demand 3D Printed Cars Edge Closer to Production Road-ready URBEE 2 will set new precedent for building fuel-efficient vehicles Minneapolis March 7 2013 – RedEye On Demand a rapid prototyping and direct digital manufacturing service and its parent company Stratasys Ltd. (NASDAQ: SSYS) today announce a collaboration with KOR EcoLogic to produce URBEE 2 the first road-ready fuel-efficient car built using 3D printing or additive manufacturing technologies. Targeted to hit the road in two years URBEE 2 represents a significant milestone in the world of traditional assembly-line manufacturing. “A future where 3D printers build cars may not be far off after all” said Jim Bartel Stratasys vice president of RedEye On Demand. “Jim Kor and his team at KOR EcoLogic had a vision for a more fuel-efficient car that would change how the world approaches manufacturing and today we’re achieving it. URBEE 2 shows the manufacturing world that anythingreally is possible. There are few design challenges additive manufacturing capabilities can’t solve.” The KOR EcoLogic team will fully design URBEE 2 in CAD files sending them to RedEye On Demand for building through Stratasys’ Fused Deposition Modeling (FDM) process. This unique process applies thermoplastics in layers from the bottom up yielding parts that are durable precise and repeatable. The finished two-passenger vehicle will comprise 40 large intricate 3D-printed parts compared to hundreds of parts in the average car. The strong lightweight vehicle will be designed to go 70 mph on the freeway using a biofuel like 100 percent ethanol. The goal is for URBEE 2 to drive from San Francisco to New York City on only 10 gallons of fuel setting a new world record. “As a mechanical engineer I’ve always believed we could use technology to help us solve some of society’s greatest challenges like minimizing our dependence on oil and reducing ozone emissions. How cool is it that American manufacturing can evolve to tackle these challenges head-on? Our team is excited to launch URBEE 2 putting a next-generation vehicle on the road that will eventually be sold to the public” said Jim Kor president and senior designer for Winnipeg-based KOR EcoLogic. URBEE 2 which stands for urban electric follows in the tracks of its conceptual predecessor Urbee 1. Produced in 2011 as a partnership between KOR EcoLogic Stratasys and RedEye On Demand Urbee 1 proved that 3D printing could in fact produce large strong parts that meet accurate specifications of a car body. URBEE 2 will take the basic concepts of Urbee 1 to a higher level including features like a fully functioning heater windshield wipers and mirrors. “With the Urbee 1 project I learned that product design is nearly unencumbered by considerations on how parts can be made with digital manufacturing. That liberation is incredibly powerful and holds a lot of potential for the future of manufacturing” said Kor. http://bit.ly/10jMtWC,Dezeen,3D Printing,tech,Emilie Chalcraft, , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjrxndPU3Q1s75lgto1_500.jpg, , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:dezeen_RedEye-On-Demand-3D-printed-car_2.jpg, , , , , , , , , , , , , , , , , , , 
45530390821,2013-03-16 21:58:20 GMT,http://ifthisthenth-ey.tumblr.com/post/45530390821/reflective-pavilion-in-marseille-foster,photo, , ,Reflective Pavilion in Marseille Foster + Partners a imaginé pour le pavillon du Vieux Port de Marseille cette installation d’une grande simplicité et d’une grande efficacité avec des panneaux en miroirs. Cette structure de 46 mètres sur 22 présentée dans le cadre de ‘Marseille Capitale Européenne de la Culture 2013′ est à découvrir dans la suite.          http://bit.ly/WMQM6g,Fubiz™,architecture,reflectivity,Baptiste.B, , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjrwxrVeJG1s75lgto1_1280.jpg, , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0p5y,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0p5A,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0plQ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0plU,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0plW,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0qq1,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0qq3,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0pm0,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XV0pm2,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:XsNxoA, , , , , , , , , , 
45529859081,2013-03-16 21:51:00 GMT,http://ifthisthenth-ey.tumblr.com/post/45529859081/voices-of-women-in-technology-a-diverse-workforce,photo, , ,Voices of women in technology A diverse workforce is critical in helping us build products that can help people change the world. That includes diversity of all life experiences including gender. Women were some of the first programmers and continue to make a major impact on the programming world today. We think it’s important to highlight the great work women are doing in computer science to help provide role models for young women thinking about careers in computing. Tomorrow is International Women’s Day and as one of our contributions to the celebration we’re proud to support Voices Global Conference presented by Global Tech Women. As part of this 24-hour live streamed event Google will provide more than a dozen hours of free talks featuring women working in computer science beginning today. To access the full schedule and our ongoing broadcasts see our section on the Voices website which will be updated throughout the day. The Voices Global Conference is the brainchild of Global Tech Women’s founder Deanna Kosaraju who also started India’s Grace Hopper Celebration of Women in Computing in 2010 with grant support from Google. The India conferences which provide a forum for women to share their professional and research work in computing have grown rapidly with more than 800 attendees in 2012. So when Deanna proposed this global 24-hour streamed conference we knew it was a great opportunity to help women and other audiences around the world learn more and get inspired about the contributions women are making to technology and computer science. Our sessions will feature a range of material from new episodes of the Women Techmakers series and interviews with women leaders like the head of Lexity India Mani Abrol to discussions focusing on technologies like Google Compute Engine. For a sneak peek of the type of content we’ll be providing check out Pavni’s story below produced in conjunction with PBS’ MAKERS series. I’ve provided advice to many young people in India interested in studying computer science and pursuing their own dreams—so Pavni’s tenacity coupled with the encouragement and support she received from her father resonated with me. We’re excited to share her story and others like it alongside technical conversations and discussions on women in technology as part of this conference.  I hope you’ll join us for our sessions—and in the meantime you can learn more about our efforts to support women at Google and beyond.Posted by Beryl Nelson Software Engineering Managerhttp://bit.ly/Xt0MFG,The Official Google Blog,tech,women in tech,Emily Wood, , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjrw8w5BDm1s75lgto1_r1_500.jpg, , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:13J697s, , , , , , , , , , , , , , , , , , , 
45529801426,2013-03-16 21:50:26 GMT,http://ifthisthenth-ey.tumblr.com/post/45529801426/computational-couture-meet-mary-huang-of,photo, , ,Computational Couture: Meet Mary Huang Of Continuum Fashion  Mary Huang is one of the co-founders of Continuum Fashion along with Jenna Fizel. They’re a fashion label whose founders come from a background in interaction designer and architecture which has given them a unqiue perspective when it comes to how they designs their garments. Their approach is to utilize the hive mind of the internet along with web applications to allow consumers to create their own designs using software. Coming across like a Google Chrome experiment their DIY little black dress D.dress allows users to create their own version of this wardrobe staple by drawing it on a model using triangulated forms. Advancing on this theme of crowdsourcing the design process is their latest project CONSTRVCT which allows users to create their own clothes using an online app with a 3D interface. “When you’re building something like this do you build the platform or do you build the object?” asks Huang. “We choose to build the platform because of the creative force of the community.” CONSTRVCT With this new computational shared design process Huang notes how it combines the experimental creativity of the catwalk with the practical issues (like sizing etc.) of the high street—allowing users access to a third path that breaks down the previous barriers and points to a future where anyone can create their own collection in the same way anyone can make their own music or video using readily available digital tools. ENTER OUR CONTEST FOR A CHANCE TO WIN YOUR CONSTRVCT DESIGN! We’re offering you the chance to win your very own CONSTRVCT design! To enter follow these simple steps: 1. Visit the CONSTRVCT site and sign up for an account using your name and email.  2. Click the “CONSTRVCT New Design” button and customize to your liking. Make sure your style is currently available! 3. When you’re finished make sure to tag your design Creators Project. You may enter as many times as you wish. See all contest entries here. 4. In two weeks fashion writer Syuzi Pakhchyan from Fashioning Technology will choose her favorite look(s) and the designer(s) will win their item(s). 5. Stay tuned for the contest winner announcement in two weeks! By entering the contest you agree to our Terms & Conditions.       Constrvct doesn’t exclusively print dresses – guys tees are also an option.       Learn more about Mary Huang’s experiments with 3D printed fashion in the video below! @stewart23rd http://bit.ly/Z6dGVY,fashion,tech,women in tech, , , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjrw8tl2fp1s75lgto1_1280.jpg, , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:112NX8c,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:Z6dFRN,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:112O03Q,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:Z6dFRR,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:112O03U,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:Z6dGVU,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:112NXox, , , , , , , , , , , , , 
45528688248,2013-03-16 21:35:00 GMT,http://ifthisthenth-ey.tumblr.com/post/45528688248/the-top-10-fall-trends-from-paris-fashion-week,photo, , ,The Top 10 Fall Trends from Paris Fashion Week Read on for our round up of the top ten trends from Paris Fashion Week.  L-R: Christophe Lemaire APC Lanvin Celine Chalayan  Theme: The New Normal Usually the home of wildly extravagant fashion experimentation Paris served up some delightfully perfected takes on the tried and true for fall 2013. Take note: It seems like the denim pendulum may be swinging the way of stove pipe rigid indigos in the near future  L-R: Julien David Rick Owens Balenciaga Comme Des Garcons Chalayan  Theme: Exquisite Tatters Are couture-worthy finishes intentionally falling to bits? It’s the concept that many Parisian designers dabbled in this season yielding pieces that wed the words “rags” and “riches” in a new way.  L-R: Veronique Branquinho Barbara Bui Ann Demeulemeester Lanvin Rick Owens  Theme: Metro-Western There’s a new sheriff in town: The “Urban Cowboy”–or “Cowgirl” as the case may be–rides again for fall 2013. This time she’s taken a dark and brooding path that calls for dramatic street-sweeping coats and rodeo-tailored tops.  L-R: Balmain Rue du Mail Undercover Nicolas Andreas Taralis Stella McCartney  Color: Purple’s Reign Sidestepping dicey retro references to Tina Yothers on Family Ties and a certain children’s entertainer/dinosaur that shall remain nameless purple emerged as a chromatic fascination for a host of Paris designers this season.  L-R: Gareth Pugh Christian Dior Mugler Christian Wijnants Sharon Wauchob  Color: Ebony and Ivory Polar opposites unite for fall 2013 as black and white pairings brought a classically graphic punch to the Paris collections. We’re excited to invest in the perfect white shirt (as though we don’t own several already) in order to interpret the look come September.  L-R: Undercover Givenchy Kenzo Dion Lee Lanvin  Print + Pattern: Surreal So Real Mix one part Schiaparelli with one part Dali and a dash of Walt Disney and you’ll be on the same print wavelength as many of the designers we saw in Paris. Whether you love them or hate them one thing is for sure: These prints will have you talking.  L-R: Nina Ricci Carven Celine Damir Doma Sharon Wauchob  Detail: Fit to Be Tied Call it “straitjacket-chic” or “twisted sister-tailored” self-tie detailing of all sorts added complex interest to Paris’s collections. Phoebe Philo’s “arm parties” at Celine will definitely be editorial home-runs; we are dying to see who takes the plunge on purchasing one of her multi-sleeved creations.  L-R: Veronique Branquinho Julien David Louis Vuitton Christophe Lemaire Rochas  Key Item: While You Were Sleeping Marc Jacobs wasn’t the only designer loving the idea of rolling out of bed and heading to work in PJs (though he may be the only one that practiced what he preached). Slumber-time inspired sets and jumpsuits cut in sumptuous satins (the alliteration just happened we swear!) showed up within several collections threatening to make effortlessly chic slobs out of all of us come fall.  L-R: Roland Mouret Stella McCartney Valentino Dries Van Noten Chanel  Key Item: La Petite Robe Noire It’s time again for that perfectly quirky LBD complete with a cut-out a feather trim or a nutty hemline to seal the deal. Tons of DIY potential here kids…  L-R: Mugler Giambattista Valli Carven Celine Nicolas Andreas Taralis  Key Item: Fabergé-figure Coat Egg-shaped outerwear featuring rounded shoulders and ovular volume was a big story within the collections. We like the idea of being able to wear our fave motorcycle jacket under such generously cut macaron-colored coats. http://bit.ly/WOqmqg,Fashionista,fashion,Kibwe Chase-Marshall, , , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjruuwY8VI1s75lgto1_250.jpg, , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:newnormal-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:exqtatters-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:metrowestern-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:purplesreign-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:ebonyivory-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:surrealsoreal-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:fittobetied-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:whileyouweresleeping-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:robenoire-640x420.jpg,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:figurecoat-640x420.jpg, , , , , , , , , , 
45528650361,2013-03-16 21:35:00 GMT,http://ifthisthenth-ey.tumblr.com/post/45528650361/sweet-as-honey-isabella-rossellinis-short-films,photo, , ,Sweet as Honey: Isabella Rossellini’s short films for Burt’s Bees There’s something so touching about Isabella Rossellini’s short films for Burt’s Bees explaining the various dramas that unfold in the honeybee kingdom. Rossellini is at once humorous and serious conveying the playful spirit of these little creatures while also making the details of their important roles clearer for us humans. I’m hard-pressed to pick a favorite character though Rossellini as farmer Burt with his newspaper beard is certainly the sweetest. The post Sweet as Honey: Isabella Rossellini’s short films for Burt’s Bees appeared first on Lost At E Minor: For creative people. http://bit.ly/15bewEV,Lost At E Minor: For creative people,age,fashion,isabella rossellini, , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjruuvTTsK1s75lgto1_r1_500.jpg, , , , , , , , , , , , , , , , , , , , , , 
45528503087,2013-03-16 21:33:00 GMT,http://ifthisthenth-ey.tumblr.com/post/45528503087/isabella-rossellini-60-stars-in-new-bulgari-ads,photo, , ,Isabella Rossellini 60 Stars In New Bulgari Ads While watching the new HBO documentary “About Face” at a screening this week we were most delighted by Isabella Rossellini’s on-screen banter. The 60-year-old model and daughter of Ingrid Bergman charmed us with her candid talk about plastic surgery (“Is it the new foot binding?”) and about how her life has changed in the industry as she’s gotten older. (Rossellini famously claimed she lost her Lancome contract in 1996 for being “too old.”) Sadly Isabella wasn’t at our screening — we would have fangirled out for sure — but luckily the Italian model and actress has a new set of ads to give us our fix. Rossellini 60 stars in a new Bulgari campaign for her latest collection of Isabella Rossellini for Bulgari bags as reported by Women’s Wear Daily. The model looks stunning in the spots shot by Annie Leibovitz who alsophotographed Rossellini for that famous portrait with David Lynch back in 1986.Here she does the same black-dress-halfway-off-the-shoulder thing but this time instead of a man covered in a turtleneck she brandishes a gorgeous red handbag one of her signature pieces that will be available for fall and spring. Can we place our order? Rossellini’s ads will appear in the September issue of Vanity Fair. Psst Isabella: we won’t tell Lancome (and… Burt’s Bees?) that you’ve switched fashion teams.,fashion,age, , , , , , , , , , , , , ,Users:troytherrien:Insync:info@th-ey.co:GIT:therrienbarley.com:util:node:tumblr-air:photos:tumblr_mjrvv0zdgb1s75lgto1_1280.jpg, , , , , , , , , , , , , , , , , , , , , , 
